Metric,VQE (Depth=2),IQM Hardware
MAE (Order Parameter),0.2887167582195576,0.1319718460577612
RMSE (Order Parameter),0.30714307375424843,0.1593119286493279
MAE (Energy),0.9255159417379699,1.9982888193430228
RMSE (Energy),1.2301425018587475,2.210097581728433
MAE Order Param (Critical Region),0.316615651207945,0.14701565120794513
MAE Energy (Critical Region),0.7043391280790088,1.8085204831436306
